study,version,part,npix,threads,iters,converged,time,busymax,busymin,busyavg,hash,rep,load
strong,omp,static,3200,6,155,0,0.243607,0.2342,0.1516,0.1815,89d681858ac1fdd6,1,5.04
strong,omp,dynamic,3200,6,155,0,0.204767,0.1949,0.1755,0.1873,89d681858ac1fdd6,1,5.04
strong,omp,static,3200,7,155,0,0.219586,0.2055,0.1308,0.1649,89d681858ac1fdd6,1,5.04
strong,omp,dynamic,3200,7,155,0,0.197440,0.1869,0.1629,0.1708,89d681858ac1fdd6,1,5.04
strong,omp,static,3200,8,155,0,0.193702,0.1827,0.1131,0.1484,89d681858ac1fdd6,1,5.04
strong,omp,dynamic,3200,8,155,0,0.182491,0.1714,0.1492,0.1606,89d681858ac1fdd6,1,5.04
strong,omp,static,3200,9,155,0,0.207121,0.1757,0.1002,0.1433,89d681858ac1fdd6,1,5.04
strong,omp,dynamic,3200,9,155,0,0.176396,0.1615,0.1417,0.1528,89d681858ac1fdd6,1,5.04
strong,omp,static,3200,10,155,0,0.193904,0.1641,0.0937,0.1340,89d681858ac1fdd6,1,5.04
strong,omp,dynamic,3200,10,155,0,0.174957,0.1579,0.1201,0.1484,89d681858ac1fdd6,1,5.04
strong,seq,seq,400,1,10000,0,0.778531,,,,423da4f6aba24111,2,5.04
strong,omp,static,400,1,10000,0,0.762255,0.7620,0.7620,0.7620,423da4f6aba24111,2,4.80
strong,omp,dynamic,400,1,10000,0,0.766543,0.7663,0.7663,0.7663,423da4f6aba24111,2,4.80
strong,omp,static,400,2,10000,0,0.523042,0.4205,0.4100,0.4152,423da4f6aba24111,2,4.80
strong,omp,dynamic,400,2,10000,0,0.526264,0.4254,0.4152,0.4203,423da4f6aba24111,2,4.80
strong,omp,static,400,3,10000,0,0.404565,0.2589,0.2564,0.2579,423da4f6aba24111,2,4.80
strong,omp,dynamic,400,3,10000,0,0.412964,0.2705,0.2651,0.2672,423da4f6aba24111,2,4.80
strong,omp,static,400,4,10000,0,0.386165,0.2121,0.1987,0.2073,423da4f6aba24111,2,4.80
strong,omp,dynamic,400,4,10000,0,0.386496,0.2393,0.1917,0.2127,423da4f6aba24111,2,4.80
strong,omp,static,400,5,10000,0,0.539866,0.2760,0.1614,0.1893,423da4f6aba24111,2,4.80
strong,omp,dynamic,400,5,10000,0,0.492085,0.2272,0.1778,0.2071,423da4f6aba24111,2,4.57
strong,omp,static,400,6,10000,0,0.561940,0.2409,0.1381,0.1624,423da4f6aba24111,2,4.57
strong,omp,dynamic,400,6,10000,0,0.529993,0.2205,0.0584,0.1706,423da4f6aba24111,2,4.57
strong,omp,static,400,7,10000,0,0.574714,0.2184,0.1184,0.1379,423da4f6aba24111,2,4.57
strong,omp,dynamic,400,7,10000,0,0.586173,0.2244,0.0199,0.1489,423da4f6aba24111,2,4.57
strong,omp,static,400,8,10000,0,0.578475,0.2066,0.1000,0.1227,423da4f6aba24111,2,4.57
strong,omp,dynamic,400,8,10000,0,0.612408,0.2250,0.0088,0.1352,423da4f6aba24111,2,4.57
strong,omp,static,400,9,10000,0,0.626634,0.2255,0.0888,0.1155,423da4f6aba24111,2,4.57
strong,omp,dynamic,400,9,10000,0,0.675689,0.2362,0.0029,0.1213,423da4f6aba24111,2,5.09
strong,omp,static,400,10,10000,0,0.706427,0.2192,0.0810,0.1176,423da4f6aba24111,2,5.09
strong,omp,dynamic,400,10,10000,0,0.734934,0.2199,0.0022,0.1127,423da4f6aba24111,2,5.09
strong,seq,seq,800,1,2500,0,0.780375,,,,99022d33efc11489,2,5.09
strong,omp,static,800,1,2500,0,0.780627,0.7805,0.7805,0.7805,99022d33efc11489,2,5.09
strong,omp,dynamic,800,1,2500,0,0.783545,0.7834,0.7834,0.7834,99022d33efc11489,2,5.09
strong,omp,static,800,2,2500,0,0.424790,0.4027,0.3961,0.3994,99022d33efc11489,2,5.09
strong,omp,dynamic,800,2,2500,0,0.431000,0.4035,0.4026,0.4031,99022d33efc11489,2,4.92
strong,omp,static,800,3,2500,0,0.341218,0.2900,0.2756,0.2830,99022d33efc11489,2,4.92
strong,omp,dynamic,800,3,2500,0,0.313205,0.2755,0.2719,0.2738,99022d33efc11489,2,4.92
strong,omp,static,800,4,2500,0,0.263262,0.2151,0.2044,0.2116,99022d33efc11489,2,4.92
strong,omp,dynamic,800,4,2500,0,0.260818,0.2185,0.2094,0.2138,99022d33efc11489,2,4.92
strong,omp,static,800,5,2500,0,0.347336,0.2613,0.1657,0.1883,99022d33efc11489,2,4.92
strong,omp,dynamic,800,5,2500,0,0.263522,0.2120,0.1682,0.1929,99022d33efc11489,2,4.92
strong,omp,static,800,6,2500,0,0.343515,0.2232,0.1375,0.1582,99022d33efc11489,2,4.92
strong,omp,dynamic,800,6,2500,0,0.287478,0.1995,0.0722,0.1670,99022d33efc11489,2,4.92
strong,omp,static,800,7,2500,0,0.327619,0.1843,0.1193,0.1345,99022d33efc11489,2,4.92
strong,omp,dynamic,800,7,2500,0,0.303957,0.1946,0.0274,0.1473,99022d33efc11489,2,4.92
strong,omp,static,800,8,2500,0,0.304524,0.1776,0.1027,0.1174,99022d33efc11489,2,4.92
strong,omp,dynamic,800,8,2500,0,0.311658,0.1927,0.0471,0.1395,99022d33efc11489,2,4.92
strong,omp,static,800,9,2500,0,0.316334,0.1958,0.0907,0.1102,99022d33efc11489,2,4.92
strong,omp,dynamic,800,9,2500,0,0.308506,0.1848,0.0497,0.1288,99022d33efc11489,2,4.92
strong,omp,static,800,10,2500,0,0.334788,0.1875,0.0846,0.1107,99022d33efc11489,2,4.92
strong,omp,dynamic,800,10,2500,0,0.340708,0.1937,0.0093,0.1243,99022d33efc11489,2,4.85
strong,seq,seq,1600,1,620,0,0.833971,,,,19a70bf14c5c667f,2,4.85
strong,omp,static,1600,1,620,0,0.835247,0.8352,0.8352,0.8352,19a70bf14c5c667f,2,4.85
strong,omp,dynamic,1600,1,620,0,0.838197,0.8382,0.8382,0.8382,19a70bf14c5c667f,2,4.85
strong,omp,static,1600,2,620,0,0.438236,0.4352,0.4252,0.4302,19a70bf14c5c667f,2,4.85
strong,omp,dynamic,1600,2,620,0,0.438563,0.4311,0.4265,0.4288,19a70bf14c5c667f,2,4.85
strong,omp,static,1600,3,620,0,0.312225,0.2982,0.2961,0.2973,19a70bf14c5c667f,2,4.85
strong,omp,dynamic,1600,3,620,0,0.314402,0.3033,0.2949,0.2997,19a70bf14c5c667f,2,4.85
strong,omp,static,1600,4,620,0,0.246923,0.2311,0.2178,0.2269,19a70bf14c5c667f,2,4.85
strong,omp,dynamic,1600,4,620,0,0.245498,0.2303,0.2254,0.2284,19a70bf14c5c667f,2,4.85
strong,omp,static,1600,5,620,0,0.304076,0.2790,0.1867,0.2124,19a70bf14c5c667f,2,4.70
strong,omp,dynamic,1600,5,620,0,0.241086,0.2223,0.1942,0.2071,19a70bf14c5c667f,2,4.70
strong,omp,static,1600,6,620,0,0.273011,0.2232,0.1472,0.1760,19a70bf14c5c667f,2,4.70
strong,omp,dynamic,1600,6,620,0,0.216655,0.1894,0.1658,0.1836,19a70bf14c5c667f,2,4.70
strong,omp,static,1600,7,620,0,0.244972,0.2000,0.1257,0.1548,19a70bf14c5c667f,2,4.70
strong,omp,dynamic,1600,7,620,0,0.214851,0.1817,0.1428,0.1648,19a70bf14c5c667f,2,4.70
strong,omp,static,1600,8,620,0,0.230722,0.1798,0.1097,0.1438,19a70bf14c5c667f,2,4.70
strong,omp,dynamic,1600,8,620,0,0.200022,0.1675,0.1280,0.1530,19a70bf14c5c667f,2,4.70
strong,omp,static,1600,9,620,0,0.237962,0.1598,0.0957,0.1301,19a70bf14c5c667f,2,4.70
strong,omp,dynamic,1600,9,620,0,0.196840,0.1632,0.1214,0.1421,19a70bf14c5c667f,2,4.70
strong,omp,static,1600,10,620,0,0.233957,0.1551,0.0900,0.1266,19a70bf14c5c667f,2,4.70
strong,omp,dynamic,1600,10,620,0,0.200980,0.1607,0.1099,0.1399,19a70bf14c5c667f,2,4.70
strong,seq,seq,3200,1,155,0,0.842627,,,,89d681858ac1fdd6,2,4.70
strong,omp,static,3200,1,155,0,0.844145,0.8441,0.8441,0.8441,89d681858ac1fdd6,2,4.70
strong,omp,dynamic,3200,1,155,0,0.848209,0.8482,0.8482,0.8482,89d681858ac1fdd6,2,6.08
strong,omp,static,3200,2,155,0,0.450936,0.4497,0.4357,0.4427,89d681858ac1fdd6,2,6.08
strong,omp,dynamic,3200,2,155,0,0.433323,0.4309,0.4251,0.4280,89d681858ac1fdd6,2,6.08
strong,omp,static,3200,3,155,0,0.310827,0.3045,0.3020,0.3036,89d681858ac1fdd6,2,6.08
strong,omp,dynamic,3200,3,155,0,0.309793,0.3046,0.2976,0.3015,89d681858ac1fdd6,2,6.08
strong,omp,static,3200,4,155,0,0.241661,0.2352,0.2235,0.2317,89d681858ac1fdd6,2,6.08
strong,omp,dynamic,3200,4,155,0,0.242908,0.2361,0.2332,0.2346,89d681858ac1fdd6,2,6.08
strong,omp,static,3200,5,155,0,0.279807,0.2712,0.1813,0.2035,89d681858ac1fdd6,2,6.08
strong,omp,dynamic,3200,5,155,0,0.233960,0.2265,0.1950,0.2075,89d681858ac1fdd6,2,6.08
