study,version,part,npix,threads,iters,converged,time,busymax,busymin,busyavg,hash,rep,load
strong,omp,static,400,6,10000,0,0.604776,0.5710,0.4848,0.5090,423da4f6aba24111,3,2.81
strong,omp,dynamic,400,6,10000,0,0.597891,0.5212,0.5158,0.5187,423da4f6aba24111,3,2.81
strong,omp,static,400,7,10000,0,0.458017,0.4342,0.4196,0.4267,423da4f6aba24111,3,2.81
strong,omp,dynamic,400,7,10000,0,0.488615,0.4568,0.4506,0.4522,423da4f6aba24111,3,2.81
strong,omp,static,400,8,10000,0,0.458563,0.4370,0.3649,0.3801,423da4f6aba24111,3,2.81
strong,omp,dynamic,400,8,10000,0,0.479530,0.4120,0.4034,0.4065,423da4f6aba24111,3,2.81
strong,seq,seq,800,1,2500,0,3.117433,,,,99022d33efc11489,3,2.81
strong,omp,static,800,1,2500,0,3.060903,3.0585,3.0585,3.0585,99022d33efc11489,3,2.66
strong,omp,dynamic,800,1,2500,0,3.098396,3.0959,3.0959,3.0959,99022d33efc11489,3,2.66
strong,omp,static,800,2,2500,0,1.549609,1.5378,1.5263,1.5321,99022d33efc11489,3,2.53
strong,omp,dynamic,800,2,2500,0,1.562556,1.5428,1.5401,1.5414,99022d33efc11489,3,2.53
strong,omp,static,800,3,2500,0,1.044849,1.0336,1.0147,1.0222,99022d33efc11489,3,2.48
strong,omp,dynamic,800,3,2500,0,1.040416,1.0224,1.0202,1.0212,99022d33efc11489,3,2.48
strong,omp,static,800,4,2500,0,0.802066,0.7971,0.7422,0.7657,99022d33efc11489,3,2.48
strong,omp,dynamic,800,4,2500,0,0.796570,0.7740,0.7691,0.7714,99022d33efc11489,3,2.48
strong,omp,static,800,5,2500,0,0.667092,0.6499,0.5933,0.6142,99022d33efc11489,3,2.48
strong,omp,dynamic,800,5,2500,0,0.667111,0.6212,0.6123,0.6147,99022d33efc11489,3,2.69
strong,omp,static,800,6,2500,0,0.555014,0.5455,0.4878,0.5097,99022d33efc11489,3,2.69
strong,omp,dynamic,800,6,2500,0,0.540597,0.5154,0.5097,0.5129,99022d33efc11489,3,2.69
strong,omp,static,800,7,2500,0,0.509896,0.4966,0.4135,0.4492,99022d33efc11489,3,2.69
strong,omp,dynamic,800,7,2500,0,0.484483,0.4448,0.4409,0.4424,99022d33efc11489,3,2.69
strong,omp,static,800,8,2500,0,0.426303,0.4042,0.3620,0.3847,99022d33efc11489,3,2.69
strong,omp,dynamic,800,8,2500,0,0.461148,0.3916,0.3887,0.3905,99022d33efc11489,3,2.69
strong,seq,seq,1600,1,625,0,4.671019,,,,ae1209a2bebdad4f,3,2.69
strong,omp,static,1600,1,625,0,4.673500,4.6726,4.6726,4.6726,ae1209a2bebdad4f,3,2.55
